C,time
96.0,0.004007376
50.0,0.000822123
88.0,0.003145166
57.0,0.000878285
61.0,0.001227629
119.0,0.006350206
21.0,0.00012595
62.0,0.001331071
101.0,0.003857647
48.0,0.00060072
145.0,0.009151705
44.0,0.00046567
135.0,0.006730706
102.0,0.003267463
65.0,0.001093072
79.0,0.001778323
150.0,0.008905541
123.0,0.005270931
149.0,0.008635202
112.0,0.00410135
122.0,0.005127163
129.0,0.006016569
128.0,0.005749283
66.0,0.001156486
148.0,0.008632892
104.0,0.003358554
137.0,0.007018729
98.0,0.002926188
100.0,0.003032857
44.0,0.000426899
92.0,0.002402611
30.0,0.000150747
91.0,0.002465209
110.0,0.004071861
150.0,0.008952557
112.0,0.004077717
120.0,0.004831832
93.0,0.002638753
132.0,0.007116751
117.0,0.005865134
108.0,0.004332022
31.0,0.000263004
115.0,0.006072355
81.0,0.002023192
24.0,0.000124105
107.0,0.004734441
41.0,0.000485692
118.0,0.005760094
79.0,0.002043016
29.0,0.000222235
41.0,0.000453902
121.0,0.007012698
71.0,0.001547803
60.0,0.00104604
145.0,0.008390353
138.0,0.006997615
90.0,0.002549323
65.0,0.001046707
31.0,0.000189429
147.0,0.008379994
122.0,0.005139126
45.0,0.00047478
132.0,0.006194156
80.0,0.00184993
139.0,0.007424028
46.0,0.000556624
38.0,0.000318935
40.0,0.000349754
139.0,0.008878114
41.0,0.000417757
117.0,0.005666213
108.0,0.005261972
33.0,0.000251059
77.0,0.001828413
64.0,0.001284424
56.0,0.000988092
64.0,0.001371132
109.0,0.005010386
134.0,0.008474558
120.0,0.006125483
85.0,0.002444793
136.0,0.008381134
120.0,0.006412464
64.0,0.001150615
48.0,0.000606711
148.0,0.011104992
144.0,0.010430587
65.0,0.001214706
150.0,0.011418364
35.0,0.000289659
120.0,0.006323136
150.0,0.01133851
75.0,0.001822184
88.0,0.002804326
67.0,0.001570608
142.0,0.010139882
147.0,0.010963273
34.0,0.000319214
81.0,0.002244424
125.0,0.006758908
34.0,0.000309136
72.0,0.001722709
123.0,0.006865249
99.0,0.003741229
74.0,0.001996053
134.0,0.006613514
137.0,0.006896817
108.0,0.003737134
119.0,0.004816951
94.0,0.002672898
117.0,0.004698371
64.0,0.001024459
108.0,0.003748442
113.0,0.004722305
118.0,0.006009813
78.0,0.001624633
109.0,0.003888829
71.0,0.001313984
58.0,0.000777753
93.0,0.002599715
123.0,0.005158473
28.0,0.000127188
72.0,0.001298097
69.0,0.001199152
92.0,0.002925092
35.0,0.000319592
149.0,0.011023767
122.0,0.005208765
119.0,0.004853697
57.0,0.000768328
68.0,0.001118979
107.0,0.003694389
37.0,0.000272754
27.0,0.000143983
130.0,0.006015048
42.0,0.000285996
136.0,0.006766408
139.0,0.007201826
146.0,0.008266283
25.0,0.000108313
76.0,0.00147273
