nschools,time
13,0.11866229
52,1.521446259
66,3.096436739
42,0.591426029
71,3.535107052
51,1.038014658
95,11.673857974
89,8.244265624
63,2.166002889
72,4.078460222
38,0.492969894
69,3.53230529
96,15.736926705
16,0.0320666
88,8.766895813
68,3.704475204
97,15.742721522
98,12.283103338
19,0.026491722
14,0.013773983
12,0.013368082
21,0.058280865
74,5.152052171
73,3.841581895
72,4.584299364
24,0.108820004
80,4.751167398
12,0.007670468
28,0.151064348
13,0.007604295
20,0.060320988
42,0.576284342
17,0.015382368
65,2.755412998
86,7.891212052
24,0.082463027
20,0.055961055
37,0.356142384
58,2.13753059
66,3.054422425
76,3.537412169
44,0.616287126
22,0.065922126
61,2.320072042
12,0.006207345
20,0.022834617
85,7.368481653
45,0.800756167
72,3.186858841
24,0.078026577
64,2.70678604
67,2.826607807
81,6.437879967
92,10.062170428
63,2.519975708
27,0.133308217
25,0.072752068
15,0.013538471
2,5.8104e-5
40,0.369294324
83,7.847251499
16,0.032550889
26,0.10750238
27,0.117011445
40,0.604066494
70,4.002326836
69,3.075535016
48,0.862747665
64,2.045054699
15,0.009272752
25,0.086538127
26,0.099760626
4,0.000317374
97,10.743416842
8,0.001719255
84,6.365678311
75,4.918022599
5,0.000611997
95,13.720598453
12,0.007097249
81,5.301630555
32,0.243537154
2,0.000163453
20,0.037322993
31,0.257512975
50,0.929966409
21,0.044040166
86,8.126224538
42,0.598032428
80,5.639915689
54,1.589459117
40,0.454435477
92,11.316571394
92,9.020624663
18,0.042018471
17,0.011308416
50,1.007812877
37,0.348059377
40,0.576490314
11,0.007915545
92,9.903445014
66,2.584633098
88,9.820051749
28,0.130045306
98,13.461980213
74,3.59606864
25,0.105622478
74,3.565571984
7,0.001995423
64,2.588051074
77,4.558310948
86,7.175090938
38,0.491319743
26,0.112457907
54,1.372671548
62,2.872393597
73,4.235543758
62,2.605378107
77,4.457569754
70,4.023783177
84,7.668564721
18,0.025046069
85,8.277246266
98,12.604360046
34,0.294177779
41,0.460806983
82,5.74542189
36,0.314868317
28,0.164348286
71,3.587765187
26,0.087251542
34,0.230905016
3,0.00033582
32,0.224669127
13,0.006036007
47,0.749130281
57,1.610891556
90,11.284357243
91,9.353027966
34,0.232844487
36,0.364759424
61,1.736896041
4,0.000391819
32,0.214247009
77,6.677208182
43,0.723120173
84,5.245442552
81,7.283788086
8,0.002232619
9,0.003320802
94,10.550562736
68,3.624342006
92,10.113417921
39,0.312270212
64,2.829668192
63,2.558590501
67,3.215065954
80,5.443428981
11,0.004590441
46,0.898907785
96,11.102362465
71,3.306900798
28,0.12584271
13,0.011054198
8,0.002742487
35,0.320699947
92,11.706741213
60,2.004157383
52,1.110231909
23,0.050602706
80,5.118976444
13,0.012283422
19,0.042151617
4,0.000211435
60,2.107533459
39,0.431090536
19,0.029035046
63,2.057898359
21,0.053739358
64,2.21421644
88,8.596047149
66,2.899473809
22,0.051381576
19,0.041630252
17,0.032894067
24,0.090397162
71,3.62331776
24,0.084170034
86,7.19725655
52,1.11160269
88,7.591616659
98,16.041948865
57,2.314769373
97,14.113680706
73,4.344022837
29,0.234547742
55,1.644297477
84,5.415336378
40,0.484684543
42,0.589938482
47,0.704779805
33,0.277983131
8,0.003467397
97,12.525573005
71,3.188153292
77,5.219459724
5,0.000722486
86,7.479788796
66,2.348993064
52,1.097351324
26,0.144775663
90,9.769755723
57,1.610280834
62,2.500371601
21,0.05164517
72,4.610284448
16,0.028090157
49,0.729619267
29,0.196274322
50,1.031597554
27,0.130339156
91,7.895119228
93,8.275696437
4,0.000358786
11,0.018159402
9,0.001723196
44,0.890212865
98,12.035778968
32,0.216926982
30,0.154462409
27,0.108631278
55,1.61992323
61,2.226984385
90,8.366905367
5,0.00062598
54,1.17595553
86,8.409891437
79,5.063258915
63,2.015241324
90,9.659168048
94,8.714708144
41,0.467620439
9,0.002581769
6,0.01087465
43,0.748348265
14,0.011187367
54,1.39931911
39,0.504056055
33,0.1929998
47,0.764732023
21,0.055164397
88,8.226670992
75,5.203443921
52,0.958101772
6,0.000517279
81,5.734856963
22,0.041774222
36,0.316143395
93,12.133727416
54,1.912674556
54,1.638073962
87,6.952394346
61,1.767435143
37,0.324314501
97,14.960447571
73,3.46095146
56,1.413885638
36,0.323439199
17,0.018938022
58,1.745786802
24,0.087136171
72,4.386099388
5,0.000486675
15,0.01173617
34,0.265855019
77,5.194476842
87,9.016412856
97,13.242442517
61,3.076135355
36,0.308624707
52,1.582262858
82,5.445960959
49,0.973547427
86,9.502133273
76,5.372485255
4,0.000319846
52,1.416102283
82,6.650164248
38,0.457767643
29,0.112136404
22,0.061289434
31,0.204088101
38,0.49560073
36,0.31411535
56,1.484664473
77,4.939567359
11,0.007572847
16,0.024596678
62,1.971476315
40,0.543909318
71,4.803226936
3,0.000275732
54,2.054487523
65,2.87496072
83,7.622267376
93,8.709026371
40,0.558162328
85,8.878324945
42,0.448225132
28,0.171970682
12,0.006906621
60,1.922844853
94,9.521654603
98,13.56308538
58,1.69554093
72,4.031411294
92,9.395886606
64,2.603130807
90,8.779103674
81,6.925790912
47,0.973195609
87,5.838060368
61,2.451230503
63,2.786017597
24,0.083603429
40,0.470536037
40,0.413370659
6,0.000856094
19,0.035043057
16,0.023777342
26,0.136664579
44,0.52433068
97,12.019041073
14,0.01781875
15,0.014878228
70,2.951252128
80,6.944166253
27,0.117423749
21,0.059049615
47,0.932035437
16,0.034047744
84,9.536804891
47,0.887183589
58,2.073334582
64,2.829547689
2,7.9313e-5
96,12.515446695
3,0.000105706
49,1.253867186
80,5.665575927
32,0.312384372
19,0.043896964
60,2.33041829
47,0.746945819
71,4.254041573
77,4.238368702
83,6.684762185
56,1.82830682
48,1.300454772
82,6.147815114
66,3.189759272
42,0.585432229
62,2.172106553
28,0.196703331
49,0.853830057
33,0.252611157
50,1.255214228
60,2.170329968
18,0.032188829
53,1.470517953
93,11.554185051
44,0.685020843
74,3.834829961
66,2.721258139
83,4.525198039
5,0.000322085
8,0.001525133
40,0.461620534
9,0.011234754
72,3.668125378
20,0.043315634
26,0.112823481
82,6.626349652
84,7.093428089
87,8.594469779
81,6.751931297
39,0.394004444
50,1.048291068
63,3.083325753
9,0.003019813
48,1.048636
41,0.668076615
32,0.248568987
81,5.23000461
55,1.954379341
33,0.23427283
70,3.187108642
90,11.231271506
57,2.178555488
71,3.443839323
67,3.288390815
5,0.000630968
43,0.712799744
34,0.232948637
72,4.730199653
92,10.422591508
98,12.768092371
18,0.025011282
92,12.589603399
23,0.091309841
58,1.962173191
31,0.205453525
50,0.979241825
46,0.976270293
72,3.497940396
83,6.224292501
36,0.345372093
59,2.040542002
7,0.001171034
85,7.191468026
90,11.279283132
78,5.419774666
33,0.245912224
49,1.087923844
97,13.357216963
31,0.221178336
34,0.320816081
80,6.219803651
61,2.436300893
16,0.013584439
25,0.09589365
50,1.040514931
75,3.547224673
24,0.071233298
19,0.027258503
62,2.667322105
31,0.209679857
5,0.00068079
43,0.591262698
79,5.012583726
67,4.042915354
44,0.624763494
10,0.013789522
43,0.729654354
45,1.003697456
8,0.009556542
64,2.83875804
51,1.315718486
75,3.560871408
82,7.96423547
87,8.423880434
28,0.147053209
71,3.944264087
86,7.788429556
9,0.003520731
11,0.00435046
89,10.206208218
94,13.309304376
96,12.969821578
8,0.001530968
44,0.738517647
19,0.023830928
64,3.232236761
97,13.774294777
83,8.099882373
66,2.383942967
